,Link2 length,Link3 length,Link4 length,Link5 length,Link6 length,Success_Rates,Manipulability_Rates,Joint2 type_pitch,Joint2 type_pris,Joint2 type_roll,Joint3 type_pitch,Joint3 type_pris,Joint3 type_roll,Joint4 type_pitch,Joint4 type_pris,Joint4 type_roll,Joint5 type_pitch,Joint5 type_pris,Joint5 type_roll,Joint6 type_pitch,Joint6 type_pris,Joint6 type_roll,Joint2 axis_y,Joint2 axis_z,Joint3 axis_x,Joint3 axis_y,Joint3 axis_z,Joint4 axis_x,Joint4 axis_y,Joint4 axis_z,Joint5 axis_x,Joint5 axis_y,Joint5 axis_z,Joint6 axis_x,Joint6 axis_y,Joint6 axis_z,Configuration index
97,0.1,0.1,0.3,0.5,0.3,0.5,0.0155771251051031,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4049
98,0.1,0.1,0.3,0.7,0.7,0.3,0.0146896105850986,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4023
99,0.1,0.1,0.3,0.5,0.3,0.1,0.1254203097586583,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,3914
100,0.1,0.1,0.5,0.5,0.5,0.3,0.0155801259982885,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4049
101,0.1,0.1,0.5,0.3,0.3,0.1,0.4701834115110388,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,3940
102,0.1,0.1,0.5,0.7,0.3,0.4,0.4701847784642914,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,3939
103,0.1,0.1,0.7,0.3,0.1,0.1,1.5667282264949833e-06,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,3941
104,0.1,0.1,0.7,0.5,0.1,0.1,0.0634686876974074,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,3915
105,0.1,0.1,0.7,0.1,0.7,0.1,0.1254432699727833,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,3969
106,0.1,0.1,0.1,0.5,0.5,0.5,0.0138898411448391,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,3968
107,0.1,0.1,0.3,0.7,0.3,0.5,0.0038248418351514,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,4045
108,0.1,0.1,0.3,0.7,0.7,0.3,0.0436239728748196,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,4020
109,0.1,0.1,0.3,0.5,0.3,0.5,0.0043556576889002,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,3966
